participant_id,run_index,relative_path,mask_sha256,mask_nonzero_voxels,mask_fraction,components_26_connected,largest_component_voxels,largest_component_fraction,second_component_voxels,bbox_width_axis0,bbox_width_axis1,bbox_width_axis2,touches_volume_border,claim_level
sub-03,1,sub-03/anat/sub-03_run-01_T1w.nii.gz,9ebbca6bb82486d286a3cb82c5a39c1e7fef2b256af9440c96d599e2649ebcfd,952361,0.074142223,1,952361,1,0,154,125,114,0,skullstrip_input_qc_not_segmentation_validation
sub-03,2,sub-03/anat/sub-03_run-02_T1w.nii.gz,e2f8b5b703c6603e2790d75dea8fea8a91abc7968d7c64734fddfffd2b4a0145,959583,0.074704462,1,959583,1,0,154,127,114,0,skullstrip_input_qc_not_segmentation_validation
sub-03,3,sub-03/anat/sub-03_run-03_T1w.nii.gz,d3e2241b62f297416d7cee0d43d9e1779b966484d2bed14e9fec93238509b97e,949118,0.073889752,1,949118,1,0,155,125,112,0,skullstrip_input_qc_not_segmentation_validation
sub-03,4,sub-03/anat/sub-03_run-04_T1w.nii.gz,1d70dc602ea230cdb6e7d404a4e2850a1874d2ccde7be2e6d8bb654cba5b7670,954515,0.074309913,1,954515,1,0,155,126,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,5,sub-03/anat/sub-03_run-05_T1w.nii.gz,569a11281ef17f7a36327ec1921e01f611102f409fa0fd5511b2eda39910461d,964153,0.075060241,1,964153,1,0,154,127,114,0,skullstrip_input_qc_not_segmentation_validation
sub-03,6,sub-03/anat/sub-03_run-06_T1w.nii.gz,877c36fb4219c8871cfae407e434a73656e84bebc1f85ccfc6ea4fd438a0c6ae,956914,0.074496678,1,956914,1,0,155,128,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,7,sub-03/anat/sub-03_run-07_T1w.nii.gz,60af1517758369288e7f5bad8b923e287694456775fe5148d9f0ae62641e8e29,955226,0.074365266,1,955226,1,0,154,128,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,8,sub-03/anat/sub-03_run-08_T1w.nii.gz,ce6adf38ab4fea6d36f1ead02c6b6d243710eb1134f5638af07301440c010b10,951633,0.074085547,1,951633,1,0,153,128,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,9,sub-03/anat/sub-03_run-09_T1w.nii.gz,40150b11591c29839813db43cf99e0ac5fb986f5a890aebb82a9d3bf9d902fd7,963632,0.075019681,1,963632,1,0,155,128,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,10,sub-03/anat/sub-03_run-10_T1w.nii.gz,d8ae7a9b0b0a69c7fad7e989989a2e4e671f6ca794063f26d7248a9370fcffc0,963266,0.074991187,1,963266,1,0,154,126,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,11,sub-03/anat/sub-03_run-11_T1w.nii.gz,91e4b02e036b97a90befc9b8a749f309295a8bb976ab3c6f4bfb9f11a0def5e5,953562,0.074235722,1,953562,1,0,154,125,114,0,skullstrip_input_qc_not_segmentation_validation
sub-03,12,sub-03/anat/sub-03_run-12_T1w.nii.gz,022f0b438ac661e247175941f4259ef8400efd75011bdfb6f0428686c15debe0,952898,0.074184028,1,952898,1,0,154,127,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,13,sub-03/anat/sub-03_run-13_T1w.nii.gz,fcb178b9339027026531365f2ca0fd64e82c6e32c1655398e4377c840c58be46,970234,0.075533653,1,970234,1,0,155,126,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,14,sub-03/anat/sub-03_run-14_T1w.nii.gz,7506a0badb0b05d289e8acc208b8970a07c8be4f8600cbff4287a8ceab6f1632,953128,0.074201934,1,953128,1,0,153,126,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,15,sub-03/anat/sub-03_run-15_T1w.nii.gz,a1ffeeb2e20678c72a382d8f2c64060a8ffc8d622bf2e8da3c42e92efbd85a88,955941,0.074420929,1,955941,1,0,155,126,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,16,sub-03/anat/sub-03_run-16_T1w.nii.gz,736ba138cbefe471dfba6a04ce7a0d005174007d55abec407ff267be4a79450a,961073,0.07482046,1,961073,1,0,154,128,114,0,skullstrip_input_qc_not_segmentation_validation
sub-03,17,sub-03/anat/sub-03_run-17_T1w.nii.gz,d0882ba24fe883223a354ce3df90a95f2bdd2824f2953a6578fbae7830d9e80e,954689,0.07432346,1,954689,1,0,155,127,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,18,sub-03/anat/sub-03_run-18_T1w.nii.gz,ec4f6b50e8050d61300f56ac605652705930facfcb4553b20a2594ef86403908,960941,0.074810184,1,960941,1,0,153,127,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,19,sub-03/anat/sub-03_run-19_T1w.nii.gz,bad892e50b2936bd655b2240c426d622a4173dd2e22325ee89be464a264f144a,954338,0.074296134,1,954338,1,0,153,126,114,0,skullstrip_input_qc_not_segmentation_validation
sub-03,20,sub-03/anat/sub-03_run-20_T1w.nii.gz,29607cd795891ab232acf06888c7ac1f2f55f9704fdf2ffaff9bb3068aa64a3d,963664,0.075022172,1,963664,1,0,153,129,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,21,sub-03/anat/sub-03_run-21_T1w.nii.gz,052157d62f68c54a760d39e7a050c18067da2d50011a61e2499cc63569809f38,970803,0.07557795,1,970803,1,0,154,128,114,0,skullstrip_input_qc_not_segmentation_validation
sub-03,22,sub-03/anat/sub-03_run-22_T1w.nii.gz,1d43751355f16b58d4fda6c20e7f21d142a5489e9334b7b47260b10c397f7b90,965564,0.075170089,1,965564,1,0,155,127,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,23,sub-03/anat/sub-03_run-23_T1w.nii.gz,dfd520a10b3efbc90f52d18f93f06068c0ea396b554556bc2e47795578ef39ae,961212,0.074831281,1,961212,1,0,153,127,114,0,skullstrip_input_qc_not_segmentation_validation
sub-03,24,sub-03/anat/sub-03_run-24_T1w.nii.gz,259f1898c41fcdad0ab63a8f003cb5a84f85c3abba49544b7db4f00aab98bf08,951665,0.074088038,1,951665,1,0,153,125,113,0,skullstrip_input_qc_not_segmentation_validation
sub-03,25,sub-03/anat/sub-03_run-25_T1w.nii.gz,823320999c83a5518ac629a313cc1705946ae94c599dd11e2839b9d49348b59f,966758,0.075263043,1,966758,1,0,154,129,113,0,skullstrip_input_qc_not_segmentation_validation
