category,name,cross_pos,cross_neg,cross_cv,long_pos,long_neg,long_cv,delta_cv,ratio,improved
long-surface-GrayVol,lh-insula,,,,5726.0,5756.0,0.2612785229054172,,,
long-surface-GrayVol,lh-isthmuscingulate,,,,2353.0,2368.0,0.3177292946409659,,,
long-surface-GrayVol,lh-lateraloccipital,,,,10262.0,10265.0,0.01461489745213621,,,
long-surface-GrayVol,lh-lateralorbitofrontal,,,,9003.0,9030.0,0.14972550324405257,,,
long-surface-GrayVol,lh-lingual,,,,6471.0,6441.0,0.23234200743494424,,,
long-surface-GrayVol,lh-medialorbitofrontal,,,,5399.0,5389.0,0.09269558769002595,,,
long-surface-GrayVol,lh-middletemporal,,,,14216.0,14293.0,0.27009014697113193,,,
long-surface-GrayVol,lh-paracentral,,,,3778.0,3792.0,0.18494055482166447,,,
long-surface-GrayVol,lh-parahippocampal,,,,2243.0,2222.0,0.47032474804031354,,,
long-surface-GrayVol,lh-parsopercularis,,,,4418.0,4426.0,0.09045680687471733,,,
long-surface-GrayVol,lh-parsorbitalis,,,,1976.0,1985.0,0.22721534965917697,,,
long-surface-GrayVol,lh-parstriangularis,,,,4751.0,4773.0,0.23099538009239814,,,
long-surface-GrayVol,lh-pericalcarine,,,,1937.0,1891.0,1.2016718913270636,,,
long-surface-GrayVol,lh-postcentral,,,,9975.0,10040.0,0.32475643267549337,,,
long-surface-GrayVol,lh-posteriorcingulate,,,,2598.0,2604.0,0.11534025374855825,,,
long-surface-GrayVol,lh-precentral,,,,13052.0,13119.0,0.2560085590921249,,,
long-surface-GrayVol,lh-precuneus,,,,8782.0,8856.0,0.41954870166685565,,,
long-surface-GrayVol,lh-rostralanteriorcingulate,,,,3299.0,3362.0,0.9458039333433419,,,
long-surface-GrayVol,lh-rostralmiddlefrontal,,,,13176.0,13211.0,0.13264107325576988,,,
long-surface-GrayVol,lh-superiorfrontal,,,,24619.0,24764.0,0.2936233116659579,,,
long-surface-GrayVol,lh-superiorparietal,,,,12278.0,12312.0,0.13826758845058967,,,
long-surface-GrayVol,lh-superiortemporal,,,,16963.0,16980.0,0.050083964293079576,,,
long-surface-GrayVol,lh-supramarginal,,,,9882.0,9954.0,0.3629764065335753,,,
long-surface-GrayVol,lh-transversetemporal,,,,1360.0,1362.0,0.07347538574577517,,,
long-surface-GrayVol,rh-caudalanteriorcingulate,,,,1666.0,1653.0,0.39168424224163906,,,
long-surface-GrayVol,rh-caudalmiddlefrontal,,,,7192.0,7224.0,0.22197558268590456,,,
long-surface-GrayVol,rh-cuneus,,,,4061.0,4070.0,0.1106874923133686,,,
long-surface-GrayVol,rh-entorhinal,,,,1580.0,1564.0,0.5089058524173028,,,
long-surface-GrayVol,rh-fusiform,,,,7990.0,8034.0,0.2745881178232651,,,
long-surface-GrayVol,rh-inferiorparietal,,,,13531.0,13650.0,0.43780582024208087,,,
long-surface-GrayVol,rh-inferiortemporal,,,,14605.0,14594.0,0.03767252303161067,,,
long-surface-GrayVol,rh-insula,,,,5629.0,5606.0,0.20471740097908322,,,
long-surface-GrayVol,rh-isthmuscingulate,,,,2553.0,2530.0,0.45248868778280543,,,
long-surface-GrayVol,rh-lateraloccipital,,,,11062.0,10965.0,0.440368638489127,,,
long-surface-GrayVol,rh-lateralorbitofrontal,,,,9363.0,9346.0,0.09086535891816773,,,
long-surface-GrayVol,rh-lingual,,,,6477.0,6448.0,0.22437137330754353,,,
long-surface-GrayVol,rh-medialorbitofrontal,,,,4517.0,4614.0,1.0623151900120469,,,
long-surface-GrayVol,rh-middletemporal,,,,13878.0,13869.0,0.032435939020434644,,,
long-surface-GrayVol,rh-paracentral,,,,3620.0,3669.0,0.6722458499108245,,,
long-surface-GrayVol,rh-parahippocampal,,,,1980.0,1976.0,0.10111223458038422,,,
long-surface-GrayVol,rh-parsopercularis,,,,4779.0,4788.0,0.09407337723424271,,,
long-surface-GrayVol,rh-parsorbitalis,,,,2620.0,2604.0,0.30627871362940273,,,
long-surface-GrayVol,rh-parstriangularis,,,,4538.0,4501.0,0.409337316074787,,,
long-surface-GrayVol,rh-pericalcarine,,,,2009.0,1942.0,1.6957732219691217,,,
